Kp,Rt_Kp,St_Kp,Ov_Kp,Ki,Rt_Ki,St_Ki,Ov_Ki,Kd,Rt_Kd,St_Kd,Ov_Kd
0.69,0.52174101886938,1.97227924286435,8.48550623921294,4.45,0.134490513335083,1.07390777371962,13.0121764934946,0.069,0.172054592606449,1.4500420518078,0.391275636058186
0.7,0.520407417384915,1.96733330637667,8.24026534618871,4.5,0.13414752346961,1.08499259468583,13.2729650223641,0.07,0.171527011580709,1.44885609992722,0.161663768147791
0.71,0.51910419014922,1.96139920894003,8.00162749004714,4.55,0.133805992961791,1.15210763446884,13.533549961153,0.071,0.170998689287847,1.44752735683359,0
0.72,0.517830768528027,1.9555369401144,7.76723956246712,4.6,0.133465414396291,1.151862702051,13.7941293734833,0.072,0.170472022725348,1.44609916277372,0
0.73,0.516587944852725,1.94903212060792,7.53160246243865,4.65,0.13312980633808,1.15423912909133,14.0547268174572,0.073,0.169942606474119,1.44451885740529,0
0.74,0.515374239563812,1.94290420934656,7.30605130590583,4.7,0.132797289550435,1.15589977063459,14.3153271052458,0.074,0.169409632360149,1.4426086627603,0
0.75,0.514191210441186,1.93554073883823,7.07462212108587,4.75,0.132469081161969,1.15595338918984,14.5758947583059,0.075,0.168882293376101,1.44028448440076,0
0.76,0.513036850207912,1.92868235217113,6.85083858116999,4.8,0.132138538632153,1.16111339565624,14.8364885915338,0.076,0.168345084790843,1.43830948686343,0
0.77,0.511923031100304,1.92133157991677,6.63211684452085,4.85,0.131813490240684,1.15466326901467,15.0970814714516,0.077,0.16780494375264,1.43768856770243,0
0.78,0.510828412173598,1.91351635376006,6.41724269190784,4.9,0.131495054656135,1.15895130234858,15.3576697251326,0.078,0.167266309262497,1.43596602456336,0
0.79,0.509776203810385,1.90520618208953,6.20002012232519,4.95,0.131175505156261,1.15605765181717,15.6182410350555,0.079,0.166732302802083,1.43222526915349,0
